tanggal_uji,nomor_kendaraan,merek,bahan_bakar,tipe,tahun_pembuatan,alat_uji,ket
2020-01-31,B9364UFA,MITSUBISHI,Solar,LAINNYA,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9078UFA,NISSAN,Solar,LAINNYA,2011,neomotec / CG450 / 4NG10101,Lulus
2020-01-31,B9085UEA,NISSAN,Solar,LAINNYA,2013,NEOMOTECH / CG 450 / 4N11D017,Lulus
2020-01-31,B9087UFA,NISSAN,Solar,LAINNYA,2011,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-31,B9052UFA,MITSUBISHI,Solar,TRUCK,2010,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-31,B9028JU,HINO,Solar,LAINNYA,2006,neomotec / CG450 / 4NG10101,Lulus
2020-01-31,B9027JU,HINO,Solar,LAINNYA,2006,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-31,B9598QO,HINO,Solar,LAINNYA,2008,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9049UFA,MITSUBISHI,Solar,TRUCK,2010,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-31,B9837UT,NISSAN,Solar,TRUCK,2008,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-31,B9919PU,HINO,Solar,TRUCK,2007,neomotec / CG450 / 4NG10101,Lulus
2020-01-31,B9752PU,HINO,Solar,PICK UP,2007,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-31,B9472UDF,MITSUBISHI,Solar,TRUCK,2016,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-31,B9055UDG,MITSUBISHI,Solar,BOX,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9683PAA,SUZUKI,Bensin,PICK UP,2010,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,FORKLIFTMAJUAN3,HELI ( FORKLIFT ),Solar,LAINNYA,2012,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,FORKLIFTMAJUAN1,HUAKE ( FORKLIFT),Solar,LAINNYA,2017,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,BELCO1,CHANGGHAI ( BELCO ),Solar,LAINNYA,2011,neomotec / CG-450 / 415A401,Lulus
2020-01-30,BELCO2,CHANGGHAI ( BELCO ),Solar,LAINNYA,2011,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B9289TFU,HINO,Solar,TRUCK,2013,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B9218TCN,MITSUBISHI,Solar,PICK UP,2019,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,FORKLIFTMAJUAN2,HELI ( FORKLIFT ),Solar,LAINNYA,2012,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B9210TFU,HINO,Solar,TRUCK,2012,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B9288TFU,HINO,Solar,TRUCK,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B9290TFU,HINO,Solar,TRUCK,2013,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B9289XB,MITSUBISHI,Solar,TRUCK,1997,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B1521TJE,MITSUBISHI,Solar,SUV,2012,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,FORKLIFTARTISTIKA,TOYOTA,Solar,LAINNYA,2011,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B2948BYV,WULING,Bensin,MPV/ MINI BUS,2019,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B2937BZI,TOYOTA,Bensin,MPV/ MINI BUS,2017,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B1756TKA,TOYOTA,Bensin,MPV/ MINI BUS,2010,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B2529BFL,TOYOTA,Bensin,MPV/ MINI BUS,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B1685TIV,HONDA,Bensin,MPV/ MINI BUS,2015,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B1258BIQ,TOYOTA,Bensin,MPV/ MINI BUS,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B1242BIQ,TOYOTA,Bensin,MPV/ MINI BUS,2014,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B1098TKZ,HONDA,Bensin,MPV/ MINI BUS,2011,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B2332BYU,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B2217DU,DAIHATSU,Bensin,MPV/ MINI BUS,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B1477TJQ,HONDA,Bensin,SUV,2018,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B7993PI,TOYOTA,Bensin,MPV/ MINI BUS,2008,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B1097TRP,TOYOTA,Bensin,MPV/ MINI BUS,2013,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B1483TZL,TOYOTA,Bensin,MPV/ MINI BUS,2012,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B7352II,MITSUBISHI,Solar,BUS,2012,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,A1249CV,HYUNDAI,Solar,SUV,2012,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B2360RFS,TOYOTA,Bensin,MPV/ MINI BUS,2016,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B2370RFS,TOYOTA,Bensin,MPV/ MINI BUS,2016,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-30,B2313SYX,TOYOTA,Bensin,MPV/ MINI BUS,2019,neomotec / CG450 / 4NG10101,Lulus
2020-01-30,B8807RFS,TOYOTA,Bensin,MPV/ MINI BUS,2019,neomotec / CG450 / 4NG10101,Lulus
2020-01-30,B2782SYW,TOYOTA,Bensin,MPV/ MINI BUS,2019,neomotec / CG450 / 4NG10101,Lulus
2020-01-30,B1400SJR,HONDA,Bensin,MPV/ MINI BUS,2016,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B1090AK,TOYOTA,Bensin,SEDAN,2011,Brain Bee / AGS-688 / 0800800031,Lulus
2020-01-30,B2203SYX,TOYOTA,Bensin,MPV/ MINI BUS,2019,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-30,B9180SAJ,DAIHATSU,Bensin,PICK UP,2018,NEOMOTECH / CG 450 / 4N10K0108,Lulus
2020-01-30,B2992SIM,TOYOTA,Bensin,MPV/ MINI BUS,2019,NEOMOTECH / CG 450 / 4N11D017,Lulus
